dcterms:identifier,dcterms:Title,dcterms:created,dcterms:temporal,dcterms:available,dcterms:creator,dcterms:source,item_sets,media,latitude,longitude,schema:polygon,_iiif
27081963,Planta do Projeto para a Praça Mauá,2016,Not Available,2016/2016,B+ABR - Backheuser e Riera Arquitetura,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081963.jpg,0,0,"POLYGON ((-4806975.2150000000 -2619462.0022000000, -4808114.3148000000 -2619072.1246000007, -4808118.4685999990 -2619059.7753000000, -4808121.8995999990 -2619047.2060999980, -4808124.5962000005 -2619034.4589999990, -4808126.5495000000 -2619021.5771999992, -4808127.7529000010 -2619008.6037000010, -4808128.2021999990 -2618995.5823000000, -4808127.8960000000 -2618982.5568000004, -4808126.8354000000 -2618969.5709000006, -4808125.0238000010 -2618956.6682999990, -4808122.4674999990 -2618943.8924999980, -4808119.1749000010 -2618931.2862000020, -4808115.1570999995 -2618918.8920000010, -4808110.4277000000 -2618906.7516000010, -4808105.0025999990 -2618894.9056000000, -4808098.9000000000 -2618883.3940999990, -4808092.1403000000 -2618872.2556000017, -4808084.7465000000 -2618861.5276000015, -4808076.7432000000 -2618851.2463000007, -4808068.1575000010 -2618841.4461000003, -4808059.0182000010 -2618832.1600000000, -4808049.3560000010 -2618823.4193000010, -4808039.2034000010 -2618815.2534000017, -4808028.5945000000 -2618807.6895999983, -4808017.5650999990 -2618800.7534999996, -4808006.1521000005 -2618794.4683000000, -4807994.3940999990 -2618788.8552000000, -4806975.2150000000 -2619462.0022000000))",<a href =https://images.imaginerio.org/iiif/3/27081963/manifest>Manifest</a>
27081962,Perepectiva do Projeto para a Praça Mauá,2016,Not Available,2016/2016,B+ABR - Backheuser e Riera Arquitetura,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081962.jpg,0,0,"POLYGON ((-4806653.7426999990 -2619396.6684000010, -4806847.3369999990 -2619697.9008999990, -4806859.6746000000 -2619695.2963000014, -4806871.8300000000 -2619691.9426000006, -4806883.7578000000 -2619687.8524000010, -4806895.4133000000 -2619683.0408999994, -4806906.7530000005 -2619677.5260999985, -4806917.7345000000 -2619671.3286999986, -4806928.3167000000 -2619664.4717000015, -4806938.4601000010 -2619656.9809999987, -4806948.1269000005 -2619648.8843000010, -4806957.2807000000 -2619640.2120999990, -4806965.8874999990 -2619630.9965999983, -4806973.9151000010 -2619621.2723999990, -4806981.3334000000 -2619611.0758999996, -4806988.1147000010 -2619600.4450999983, -4806994.2337000000 -2619589.4197000004, -4806999.6676000000 -2619578.0410000010, -4807004.3959000000 -2619566.3515000010, -4807008.4010000010 -2619554.3949000016, -4807011.6680000000 -2619542.2159000000, -4807014.1845999990 -2619529.8599999994, -4807015.9415000010 -2619517.3733999990, -4807016.9320000000 -2619504.8027999997, -4807017.1525000000 -2619492.1952000000, -4807016.6021000000 -2619479.5976000020, -4807015.2829000000 -2619467.0573000014, -4807013.1998000000 -2619454.6209999993, -4807010.3607000000 -2619442.3352000006, -4807006.7760000010 -2619430.2459000014, -4807002.4593000000 -2619418.3982000016, -4806997.4267000000 -2619406.8365000000, -4806991.6969000010 -2619395.6039000005, -4806985.2914000000 -2619384.7424000017, -4806978.2342000010 -2619374.2927000000, -4806970.5515000000 -2619364.2938000000, -4806962.2722000000 -2619354.7831000015, -4806653.7426999990 -2619396.6684000010))",<a href =https://images.imaginerio.org/iiif/3/27081962/manifest>Manifest</a>
27081961,Planta General del Proyecto Orla Conde,Not Available,nan/nan,nan/nan,B+ABR - Backheuser e Riera Arquitetura,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081961.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/27081961/manifest>Manifest</a>
27081958,Via Perimetral y Plaza XV,2010,Not Available,2010/2015,B+ABR - Backheuser e Riera Arquitetura,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081958.jpg,0,0,"POLYGON ((-4806125.9930000010 -2620168.0377000010, -4805790.8200000000 -2620166.9981999993, -4805785.3379999995 -2620177.9189000020, -4805780.5814000000 -2620189.1744999997, -4805776.5704999990 -2620200.7168999985, -4805773.3224000000 -2620212.4967000000, -4805770.8510000000 -2620224.4635999985, -4805769.1669000000 -2620236.5663000010, -4805768.2773000000 -2620248.7533000000, -4805768.1860000010 -2620260.9723999985, -4805768.8933000010 -2620273.1713000014, -4805770.3962999990 -2620285.2978999987, -4805772.6885000000 -2620297.3004000000, -4805775.7601000000 -2620309.1273999996, -4805779.5979999990 -2620320.7285000010, -4805784.1859000010 -2620332.0538999997, -4805789.5039000010 -2620343.0553999990, -4805795.5296000000 -2620353.6858000010, -4805802.2370000000 -2620363.8997000010, -4805809.5975000000 -2620373.6534999980, -4805817.5797000010 -2620382.9054999985, -4805826.1493000000 -2620391.6160000004, -4805835.2699000000 -2620399.7479999997, -4805844.9024000000 -2620407.2666000016, -4805855.0056000000 -2620414.1396000013, -4805865.5364000000 -2620420.3378000000, -4805876.4497000000 -2620425.8345000000, -4805887.6987999990 -2620430.6064000020, -4805899.2357000000 -2620434.6328999996, -4805911.0111000000 -2620437.8970000000, -4806125.9930000010 -2620168.0377000010))",<a href =https://images.imaginerio.org/iiif/3/27081958/manifest>Manifest</a>
27081956,Via Perimetral y 1º Distrito Naval,2010,Not Available,2010/2015,http://museudeartedorio.org.br/en/home/,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081956.jpg,0,0,"POLYGON ((-4806986.3263000010 -2619534.9246000014, -4806741.7504999990 -2619179.3042000010, -4806728.6539999990 -2619182.2448999994, -4806715.7514999990 -2619185.9450999983, -4806703.0868999995 -2619190.3920000010, -4806690.7036000010 -2619195.5707000010, -4806678.6436000000 -2619201.4633999990, -4806666.9482000000 -2619208.0500000007, -4806655.6570999995 -2619215.3079999983, -4806644.8090000000 -2619223.2126999980, -4806634.4408000000 -2619231.7371999994, -4806624.5879000000 -2619240.8524000010, -4806615.2838000000 -2619250.5271000005, -4806606.5604000000 -2619260.7285000010, -4806598.4473000000 -2619271.4215999990, -4806590.9722000010 -2619282.5700999983, -4806584.1605999990 -2619294.1360000000, -4806578.0357000010 -2619306.0797000006, -4806572.6184000000 -2619318.3605000004, -4806567.9273000010 -2619330.9367000014, -4806563.9782000000 -2619343.7652000003, -4806560.7847000010 -2619356.8024000004, -4806558.3577000000 -2619370.0036999993, -4806556.7053000000 -2619383.3242000006, -4806555.8333000000 -2619396.7184999995, -4806555.7447000000 -2619410.1407999992, -4806556.4397000000 -2619423.5454000010, -4806986.3263000010 -2619534.9246000014))",<a href =https://images.imaginerio.org/iiif/3/27081956/manifest>Manifest</a>
27081935,Vista aérea da Praça Mauá,2016,Not Available,2016/2018,André Sanches,http://museudeartedorio.org.br/en/home/ Museu de Arte do Rio Museu de Arte do Rio,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081935.jpg,0,0,"POLYGON ((-4806990.4966000000 -2619553.0284000000, -4806647.8444000000 -2618959.6622000000, -4806629.8227999990 -2618962.2703000010, -4806611.9306000010 -2618965.6541999990, -4806594.2011999990 -2618969.8075999990, -4806576.6677000000 -2618974.7226000020, -4806559.3628000000 -2618980.3902000003, -4806542.3188000005 -2618986.7996999994, -4806525.5673999990 -2618993.9391999990, -4806509.1399000010 -2619001.7952999994, -4806493.0670000000 -2619010.3535000010, -4806477.3786999990 -2619019.5978000015, -4806462.1041000000 -2619029.5108999982, -4806447.2719000000 -2619040.0742000006, -4806432.9096000010 -2619051.2683000006, -4806419.0440000000 -2619063.0720000006, -4806405.7010999990 -2619075.4633999990, -4806392.9058000000 -2619088.4195000010, -4806380.6818000000 -2619101.9160000010, -4806369.0518999990 -2619115.9277000017, -4806358.0380000010 -2619130.4285000004, -4806347.6604999990 -2619145.3913999980, -4806337.9388000000 -2619160.7885000000, -4806328.8910000010 -2619176.5909999980, -4806320.5341000000 -2619192.7694000006, -4806312.8835000000 -2619209.2936000004, -4806305.9535000010 -2619226.1328000017, -4806299.7572000010 -2619243.2555000000, -4806294.3060000000 -2619260.6297999993, -4806289.6100999990 -2619278.2232000010, -4806285.6783000010 -2619296.0031000003, -4806282.5179999990 -2619313.9360999987, -4806280.1349000000 -2619331.9888000004, -4806278.5336000010 -2619350.1275999993, -4806277.7170000000 -2619368.3187000006, -4806277.6866999995 -2619386.5280000010, -4806278.4427000005 -2619404.7217000015, -4806990.4966000000 -2619553.0284000000))",<a href =https://images.imaginerio.org/iiif/3/27081935/manifest>Manifest</a>
26940690,Dócas de D. Pedro II Nas Enseadas de Saúde e Gamboa,1867,Not Available,1867/1875,Not Available,https://www.gov.br/economia/pt-br/acesso-a-informacao/institucional/planejamento/unidades/spu Secretaria do Patrimônio da União Secretaria do Patrimônio da União,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/26940690.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/26940690/manifest>Manifest</a>
24879867,Vista Aérea da Exposição Internacional de 1922,1922,Not Available,1922/1923,Unknown,http://www.dsg.eb.mil.br Diretoria do Serviço Geográfico do Exército Diretoria do Serviço Geográfico do Exército,all||aerials,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24879867.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/24879867/manifest>Manifest</a>
24848181,Planta Geral da Exposição Internacional de 1922,1922,Not Available,1922/1923,Unknown,https://www.uga.edu/ University of Georgia University of Georgia,all||maps,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24848181.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/24848181/manifest>Manifest</a>
24848180,Exposição de Gado de 1922,1922,Not Available,1922/1923,Directoria Geral do Serviço de Industria Pastoril,https://www.uga.edu/ University of Georgia University of Georgia,all||maps,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24848180.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/24848180/manifest>Manifest</a>
