"gid","featuretyp","namecomple","nameshort","yearfirstd","yearlastdo","firstdispl","lastdispla","layer","tablename","globalid","geom","uploaddate","notes","nameabbrev","creator","firstowner","owner","occupant","address","scalerank","stylename"
424362,"Civil","Theatro Municipal do Rio de Janeiro","Municipal",,,1905,8888,"BuildingsPoly",,"284362c0-74a9-11e8-bd15-356431c8a804","0103000020E610000001000000380000006B929F48979645C0560BC9399BE836C06C7D7FB8959645C02174B77FA3E836C0F1C53054969645C034C7FBC8A3E836C04FF5FFF5949645C09EE8F8AEA8E836C0BDBF612F969645C0BF98BA85A9E836C08C280040929645C074CE8964B6E836C07CE6F81F939645C016A82D65B7E836C0CF7C5B4C909645C0A813B26EC0E836C0CEB69502919645C02EEB3BFBC0E836C0E88186A9909645C0EF27D16AC1E836C0BE13CD68909645C0619DBEF7C1E836C0AD5F2343909645C0615B2C79C2E836C0F7AB7A33909645C05169B605C3E836C04962D036909645C063DE9EF0C3E836C039BCBD68909645C034161DDEC4E836C0A3ACAD9E909645C0CDC7195DC5E836C0640249EB909645C02175F0FDC5E836C07524675C919645C0E1AF514FC6E836C049A3DBBB919645C044DBCF6FC6E836C0E8FE6A24929645C0BC30D97FC6E836C0D183DDC1919645C0E3362BB4C7E836C045286E62929645C0FDB6CF7CC8E836C0ED312989929645C00BE13F50C8E836C050CD3669939645C03668C544C9E836C02E366D57939645C0AEBBC7A0C9E836C09B994232959645C0681E50B0CBE836C0D11DC049959645C09C037757CBE836C0A9720A3E969645C09675C06ACCE836C0539D552C969645C04276A4BACCE836C06CB3A5F7969645C0149D6B61CDE836C045551F62979645C09D5F2853CCE836C0899AFCC0979645C017433A46CDE836C0AA0D7B55989645C0308ECEF1CDE836C0D8DAA3F0989645C0F4E7A310CEE836C0FC68E789999645C048511ADCCDE836C0813EEDFA999645C05E973147CDE836C06ACCB23F9A9645C05D436BC0CCE836C0864A43539A9645C059753D4FCCE836C09B0293759A9645C048C8DAD9CBE836C0933A8D1B9B9645C0176EDE56CCE836C011C3C7FB9D9645C0F4785493C3E836C0926783F49E9645C0F00BB171C4E836C0D9B528D7A29645C024B6FE52B8E836C022C24B21A49645C05E574068B9E836C01A2A3E88A59645C037980620B5E836C0491B143BA69645C00B56AABEB5E836C03A1BF05FA89645C02AF3F357B1E836C0DDB93C30A89645C03C8C8F06B1E836C096EE6F43AB9645C0D4F10BF7AAE836C08AE966F2AA9645C08BA38A25A8E836C0F258FBE9A69645C0DCD3C613A5E836C042A2722DA79645C06DAB0D67A3E836C029E0DB119D9645C08907D8F79BE836C079C1F4B79C9645C015F4DF5F9DE836C0FDDC77C9989645C0F3C08B719AE836C06B929F48979645C0560BC9399BE836C0",20180620,,,"Francisco de Oliveira Passos",,,,"Praça Floriano, s/nº",0,"buildings"
424363,"Civil","Museu Nacional de Belas Artes","Belas Artes",,,1906,8888,"BuildingsPoly",,"2843b0e0-74a9-11e8-bd15-356431c8a804","0103000020E61000000200000005000000A0769857859645C01990DD0CBEE836C0591924D18C9645C0E926025D96E836C060A7B8DF779645C0C517AED388E836C03A5ECEB0709645C0A1A513DAB0E836C0A0769857859645C01990DD0CBEE836C013000000B4F7B0DD7F9645C0C402D4B9A9E836C04A6E7B4F799645C0C2A32396A5E836C004D931C2799645C0DF375610A3E836C014B4326E7A9645C04F4A0A60A3E836C0B0D9E8D57A9645C0FB699A74A3E836C027126B337B9645C0CCCE4C49A3E836C01E87AB897B9645C01604AE0EA3E836C0291331CA7B9645C0D5820CA0A2E836C0066351007C9645C0C84E550EA2E836C0D7BDD6197C9645C03608727AA1E836C09CF875257C9645C028053DE6A0E836C0AC54401A7C9645C061A36A48A0E836C0545B65F27B9645C05A597BAE9FE836C03891C8BA7B9645C0C11B84359FE836C005075C5E7B9645C02B16BCBE9EE836C013E902A67A9645C0383DDE7A9EE836C0C4B6A3207B9645C02790EBA19BE836C07F728EAA819645C0E55DCFE39FE836C0B4F7B0DD7F9645C0C402D4B9A9E836C0",20180620,,,"Adolfo Morales de los Rios",,,,"Av. Rio Branco, 199",0,"buildings"
424356,"Civil","Palácio Duque de Caxias","Caxias",,,1941,8888,"BuildingsPoly",,"283de480-74a9-11e8-bd15-356431c8a804","0103000020E6100000010000002E000000A01822613B9845C01640C163E9E636C0CF4683DD2C9845C0850D1C0427E736C07F34D9412C9845C0E4D3AA9929E736C0DDF5B1A02B9845C0A603F9862CE736C015B7A2252D9845C014359CA62DE736C0F5D5AA172C9845C00E3CF28932E736C024558B932A9845C0A7C4536A31E736C0136D03DF299845C0266A8CAD34E736C0B2C010642E9845C0B79D2D0638E736C0357AE1952E9845C0017D731937E736C0071E5AAD3D9845C033BE1D4342E736C0DA6388043D9845C02F02FD4F45E736C065E8C04C3F9845C07F6BF90047E736C0347F1BFF3F9845C01B9071C643E736C05F8ABE7F449845C0D75AC01A47E736C0115764CA439845C0E82684624AE736C0987552F5459845C066599FFD4BE736C072DAB29A469845C0BCFE3EFE48E736C0D94C41CB489845C089CF95A54AE736C00E0FB6BE559845C057EBBB6A54E736C0B43F548E599845C0A8D7E63C57E736C0A649DC545A9845C075E1DACF57E736C0B7667FE85A9845C053BA622355E736C09A73F7215A9845C08311639054E736C027A2D013599845C07EAC5DC853E736C01120AC325A9845C07CC598934EE736C0086606485B9845C050B6F2604FE736C090D65A075C9845C05FC49DEE4FE736C0A781EF955C9845C067E2C1584DE736C0B43A30E15D9845C0445D678447E736C0E80E0F235E9845C00265EEBA47E736C0AAC70EE9619845C0C84ED9A837E736C0BA21D95F629845C034B2E90138E736C0B7A0F13B649845C01D66412F30E736C0394320C1639845C0F46D02CD2FE736C0A6ECAC03689845C093E66EA51DE736C06FD68571689845C00DCCB7F61DE736C06AD7DF346A9845C049A697C815E736C0F682B9EC699845C0F0BEDBF813E736C09CA138666A9845C006427BC311E736C0AEA972026B9845C02A53273712E736C04B8DEB966B9845C06F01AC870FE736C0D405CA956A9845C09A7E7ECA0EE736C0C28658F96A9845C09214A4FB0CE736C0064920F6409845C002C976E5EDE636C0A01822613B9845C01640C163E9E636C0",20180620,,,"Cristiano Stocker das Neves",,,,"Praça Duque de Caxias, s/ no",0,"buildings"
424357,"Civil","Estação Dom Pedro II","Dom Pedro II",,,1858,1998,"BuildingsPoly",,"28420330-74a9-11e8-bd15-356431c8a804","0103000020E6100000010000002B0000002FF9FDD6879845C0A78F46D863E736C02C5518877B9845C015AF030F5DE736C0A9E1C0F27B9845C0AB363BD05AE736C0B1DD8698789845C03A5C1DE957E736C01BCCA5817A9845C0852349D94EE736C062F81F7A7C9845C0C213535650E736C0631686B8819845C08E7C8E2939E736C09D7FCA08809845C05C80CBC437E736C07494592D829845C05C7DFA232EE736C01233C51C849845C06C1DACAC2FE736C0E75180C5849845C0A81D61E22CE736C05A9690638C9845C0C58BE7C932E736C075DE1F0B8F9845C07648235D21E736C0DB9D5B928A9845C0F9F348001EE736C04C8ED9538A9845C01453DF2D1FE736C016B3278C879845C0BC2FADF41CE736C0993FCF97859845C049E89C771BE736C007AC28F1849845C0AE871F601BE736C01CFE31FB839845C0CABA57481BE736C002F8D09E829845C08BBF8F4F1BE736C0CEB57DC5819845C01E381FB01BE736C0823A0F0F819845C0683DDE381CE736C001E99569809845C0C301D1E11CE736C071DB6FC47F9845C0667702D51DE736C053E083197F9845C08287A5CF1EE736C048F429927E9845C01F0CB20720E736C0A647B1227E9845C08A3F882621E736C03F1F32A57D9845C00BE476D322E736C04E26D63B7D9845C03B814EAE24E736C0CA7A40ED7C9845C0F423572D26E736C09931639D7C9845C05D8F09F227E736C084CF1406729845C0FBC9C0645BE736C0874F41F9719845C047C84DB95BE736C0C209E3F8719845C08E4D126C5CE736C0A0FB9007729845C08E672FED5CE736C026015D18729845C0EDE69F255DE736C0CA27D25C729845C081E73BC35DE736C0984C1D59739845C0DF90EF985EE736C02F28AF88729845C01CADA42A62E736C070373FE7749845C0F11B1F2764E736C0EC17EE09749845C07CDA962168E736C0106F2527869845C0785F789970E736C02FF9FDD6879845C0A78F46D863E736C0",20180620,"128",,"Roberto Magno De Carvalho e Escritorio Robert R. Prentice (Geza Heller e Adalberto Szilard)",,,,"Praça Cristiano Ottoni, s/ no",0,"buildings"
424358,"Civil","Arquivo Geral da Cidade do Rio de Janeiro (AGCRJ)","AGCRJ",,,1977,8888,"BuildingsPoly",,"28425150-74a9-11e8-bd15-356431c8a804","0103000020E6100000010000000A000000E9010D94DF9945C059253B2BC3E836C08B9DCEBCDD9945C06EEF82F2CCE836C0EDC12215DD9945C0D3ACBC88CCE836C0997D72A0DB9945C0DBF55733D3E836C0BA5F8B07DB9945C0B93C8695D6E836C075DBEED3DB9945C042E7E217D7E836C07EA57BD1DA9945C0D0913C73DCE836C03D9F7BBCE19945C085A2CEEBE0E836C0C7EA0B7FE69945C05A40CCA3C7E836C0E9010D94DF9945C059253B2BC3E836C0",20180620,,,"Edilson e Edmundo Musa",,,,"Rua Amoroso Lima, 15 - Cidade Nova",0,"buildings"
424359,"Civil","Edifício-Sede da Empresa Brasileira de Correios e Telégrafos","Correios",,,1974,8888,"BuildingsPoly",,"28427860-74a9-11e8-bd15-356431c8a804","0103000020E61000000200000007000000ACA3A312EC9945C072185146C6E836C0930EC64CE69945C0EBDCB4EFE4E836C067191AA0069A45C0B55885D4F9E836C039972166189A45C0BD02685105E936C06441F32B1E9A45C07E9C7FA9E6E836C055D504660C9A45C0CC50242CDBE836C0ACA3A312EC9945C072185146C6E836C0070000008E54A35E1A9A45C0E4F4AB2FEAE836C04FCAF18A169A45C086E22095FEE836C08A50DE830B9A45C0D15ED57AF7E836C017680E87079A45C0609F100AF5E836C09B895F670B9A45C0F9F56E74E0E836C05E3AFA5A0F9A45C042743F00E3E836C08E54A35E1A9A45C0E4F4AB2FEAE836C0",20180620,,,"Antônio Antunes Soares Filho",,,,"Avenida Presidente Vargas, 3077",0,"buildings"
424360,"Civil","Edifício Teleporto","Teleporto",,,1995,8888,"BuildingsPoly",,"2842c680-74a9-11e8-bd15-356431c8a804","0103000020E610000001000000110000005EB62A0B2B9A45C050D2CDDE0FE936C0C21BB9352D9A45C0BD7F084611E936C011DF31CF2D9A45C0041E657510E936C09C76327D2E9A45C0C1DFC3D80CE936C060D93853329A45C0DFE65576F8E836C052008507339A45C0987A3AB8F4E836C0670ACD9D329A45C0759CC6EAF2E836C0C888CF93309A45C06D988299F1E836C0A39B3FEE269A45C0A107E05DEBE836C07AF62AD3249A45C058E29101EAE836C0D9D7F307249A45C07C1363BDEAE836C04AFB4F4F239A45C0FC5354C8EEE836C043201AAC1F9A45C0523DFA2B03E936C040C84B031F9A45C0B22E31DE06E936C03D57433A1F9A45C0F9715A3708E936C0ED51CC27219A45C0F64B0E7709E936C05EB62A0B2B9A45C050D2CDDE0FE936C0",20180620,,,"Pontual Arquitetura",,,,"Avenida Presidente Vargas, 3131",0,"buildings"
424361,"Civil","Centro Administrativo São Sebastião - PCRJ","PCRJ",,,1973,8888,"BuildingsPoly",,"2842ed90-74a9-11e8-bd15-356431c8a804","0103000020E610000001000000080000005E2C17FE429A45C05C73675F3AE936C005BAA458419A45C0F2B332DD43E936C048A521D35F9A45C02D13720456E936C00DBE5BC3609A45C0A7E5DD9A50E936C039762137629A45C0C3698C3A48E936C05A022FF35F9A45C0466922E046E936C0B29EA4BC439A45C0FAFED21436E936C05E2C17FE429A45C05C73675F3AE936C0",20180620,,,"Marcos Konder Netto",,,,"Rua Afonso Cavalcanti, 455",0,"buildings"
424375,"Civil","Edifício Novo Mundo","Novo Mundo",,,1940,8888,"BuildingsPoly",,"284648f0-74a9-11e8-bd15-356431c8a804","0103000020E61000000100000007000000D9A6F1BC219645C075B9487062E936C09C4806E7269645C03CA5AE996BE936C0A6D48B002A9645C03575DF1E67E936C05C23E9E22C9645C030FE7F576DE936C0771E1981329645C09B16076664E936C04C8830D72A9645C032E2B8D253E936C0D9A6F1BC219645C075B9487062E936C0",20180620,,,"Ricardo Wriedt",,,,"Av. Presidente Wilson, 164",0,"buildings"
424376,"Civil","Aeroporto Santos Dumont","Dumont",,,1945,8888,"BuildingsPoly",,"28467000-74a9-11e8-bd15-356431c8a804","0103000020E6100000010000000B000000A1BF9ABE569545C0521A446D0BE936C0C3F5A959569545C075F6A00318E936C07AE85C33539545C087FF31457DE936C0C57946FF5E9545C01385151F7EE936C0105801035F9545C0C092F7A87DE936C0662CDF6C5F9545C089D959A27DE936C0A2EE8F7F609545C04BAC20FF5AE936C0D063709B629545C01841F0E60BE936C0D7F3EB17589545C0F28D3C860BE936C02F7924DF579545C0CA13ED800BE936C0A1BF9ABE569545C0521A446D0BE936C0",20180620,"131",,"Marcelo e Milton Roberto",,,,"Praça Salgado Filho, s/nº",0,"buildings"
