id,portals_id,portals_url
000027,8590022587,http://acervos.ims.com.br/portals/#/detailpage/8590022587
000028,8590022588,http://acervos.ims.com.br/portals/#/detailpage/8590022588
000029,8590022589,http://acervos.ims.com.br/portals/#/detailpage/8590022589
000030,8590022590,http://acervos.ims.com.br/portals/#/detailpage/8590022590
000031,8590022591,http://acervos.ims.com.br/portals/#/detailpage/8590022591
000032,8590022592,http://acervos.ims.com.br/portals/#/detailpage/8590022592
000033,8590022593,http://acervos.ims.com.br/portals/#/detailpage/8590022593
000034,8590022594,http://acervos.ims.com.br/portals/#/detailpage/8590022594
000035,8590022595,http://acervos.ims.com.br/portals/#/detailpage/8590022595
000036,8590022596,http://acervos.ims.com.br/portals/#/detailpage/8590022596
000037,8590022597,http://acervos.ims.com.br/portals/#/detailpage/8590022597
000038,8590022598,http://acervos.ims.com.br/portals/#/detailpage/8590022598
000039,8590022599,http://acervos.ims.com.br/portals/#/detailpage/8590022599
000040,8590022600,http://acervos.ims.com.br/portals/#/detailpage/8590022600
000042,8590022556,http://acervos.ims.com.br/portals/#/detailpage/8590022556
000043,8590022557,http://acervos.ims.com.br/portals/#/detailpage/8590022557
000044,8590022558,http://acervos.ims.com.br/portals/#/detailpage/8590022558
000045,8590022559,http://acervos.ims.com.br/portals/#/detailpage/8590022559
000046,8590022560,http://acervos.ims.com.br/portals/#/detailpage/8590022560
000047,8590022561,http://acervos.ims.com.br/portals/#/detailpage/8590022561
000048,8590022562,http://acervos.ims.com.br/portals/#/detailpage/8590022562
000049,8590022616,http://acervos.ims.com.br/portals/#/detailpage/8590022616
000050,8590022617,http://acervos.ims.com.br/portals/#/detailpage/8590022617
000052,8590022619,http://acervos.ims.com.br/portals/#/detailpage/8590022619
000054,8590022843,http://acervos.ims.com.br/portals/#/detailpage/8590022843
000055,8590025137,http://acervos.ims.com.br/portals/#/detailpage/8590025137
000057,8590022623,http://acervos.ims.com.br/portals/#/detailpage/8590022623
000058,8590022624,http://acervos.ims.com.br/portals/#/detailpage/8590022624
000059,8590022625,http://acervos.ims.com.br/portals/#/detailpage/8590022625
000060,8590022626,http://acervos.ims.com.br/portals/#/detailpage/8590022626
000061,8590022627,http://acervos.ims.com.br/portals/#/detailpage/8590022627
000062,8590022628,http://acervos.ims.com.br/portals/#/detailpage/8590022628
000063,8590022629,http://acervos.ims.com.br/portals/#/detailpage/8590022629
000064,8590022630,http://acervos.ims.com.br/portals/#/detailpage/8590022630
000065,8590022631,http://acervos.ims.com.br/portals/#/detailpage/8590022631
000066,8590022632,http://acervos.ims.com.br/portals/#/detailpage/8590022632
000067,8590022633,http://acervos.ims.com.br/portals/#/detailpage/8590022633
000068,8590022634,http://acervos.ims.com.br/portals/#/detailpage/8590022634
000069,8590022635,http://acervos.ims.com.br/portals/#/detailpage/8590022635
000070,8590022636,http://acervos.ims.com.br/portals/#/detailpage/8590022636
000071,8590022637,http://acervos.ims.com.br/portals/#/detailpage/8590022637
000072,8590022638,http://acervos.ims.com.br/portals/#/detailpage/8590022638
000073,8590022639,http://acervos.ims.com.br/portals/#/detailpage/8590022639
000074,8590022640,http://acervos.ims.com.br/portals/#/detailpage/8590022640
000075,8590022641,http://acervos.ims.com.br/portals/#/detailpage/8590022641
000076,8590022642,http://acervos.ims.com.br/portals/#/detailpage/8590022642
000077,8590022643,http://acervos.ims.com.br/portals/#/detailpage/8590022643
000078,8590022644,http://acervos.ims.com.br/portals/#/detailpage/8590022644
000079,8590022645,http://acervos.ims.com.br/portals/#/detailpage/8590022645
000080,8590022646,http://acervos.ims.com.br/portals/#/detailpage/8590022646
000081,8590022647,http://acervos.ims.com.br/portals/#/detailpage/8590022647
000082,8590022648,http://acervos.ims.com.br/portals/#/detailpage/8590022648
000083,8590022649,http://acervos.ims.com.br/portals/#/detailpage/8590022649
000084,8590022650,http://acervos.ims.com.br/portals/#/detailpage/8590022650
000085,8590022651,http://acervos.ims.com.br/portals/#/detailpage/8590022651
000086,8590022652,http://acervos.ims.com.br/portals/#/detailpage/8590022652
