id,omeka_url
0072430cx097-12,https://images.imaginerio.org/api/items/4
0072430cx098-08,https://images.imaginerio.org/api/items/5
013RJ001004,https://images.imaginerio.org/api/items/6
013RJ001005,https://images.imaginerio.org/api/items/7
013RJ001009,https://images.imaginerio.org/api/items/8
001AAN005121,https://images.imaginerio.org/api/items/19
001AAN005122,https://images.imaginerio.org/api/items/20
001AAN005123,https://images.imaginerio.org/api/items/21
001AAN005124,https://images.imaginerio.org/api/items/22
001AAN005125,https://images.imaginerio.org/api/items/23
001AAN005126,https://images.imaginerio.org/api/items/24
001AAN005127,https://images.imaginerio.org/api/items/25
001AAN005128,https://images.imaginerio.org/api/items/26
001AAN005129,https://images.imaginerio.org/api/items/27
001AAN005135,https://images.imaginerio.org/api/items/28
001AAN005136,https://images.imaginerio.org/api/items/29
001AAN005137,https://images.imaginerio.org/api/items/30
001AAN005138,https://images.imaginerio.org/api/items/31
001AAN005139,https://images.imaginerio.org/api/items/32
001AAN005140,https://images.imaginerio.org/api/items/33
001AAN005141,https://images.imaginerio.org/api/items/34
001AAN005142,https://images.imaginerio.org/api/items/35
001AAN005143,https://images.imaginerio.org/api/items/36
001AAN005144,https://images.imaginerio.org/api/items/37
001AAN005145,https://images.imaginerio.org/api/items/38
001AAN005146,https://images.imaginerio.org/api/items/39
001AAN005147,https://images.imaginerio.org/api/items/40
001AAN005148,https://images.imaginerio.org/api/items/41
001AAN005149,https://images.imaginerio.org/api/items/42
001AAN005150,https://images.imaginerio.org/api/items/43
001AAN005151,https://images.imaginerio.org/api/items/44
001ACL017002,https://images.imaginerio.org/api/items/45
001ACL017006,https://images.imaginerio.org/api/items/46
001ACL017018,https://images.imaginerio.org/api/items/47
001ACL017022,https://images.imaginerio.org/api/items/48
001AE001001,https://images.imaginerio.org/api/items/49
001AE001002,https://images.imaginerio.org/api/items/50
001AE001003,https://images.imaginerio.org/api/items/51
001AF001001,https://images.imaginerio.org/api/items/52
001ALA011001,https://images.imaginerio.org/api/items/53
001ALA011002,https://images.imaginerio.org/api/items/54
001ALA011003,https://images.imaginerio.org/api/items/55
001ALA011004,https://images.imaginerio.org/api/items/56
001ALA011005,https://images.imaginerio.org/api/items/57
001ALA011006,https://images.imaginerio.org/api/items/58
001ALA011007,https://images.imaginerio.org/api/items/59
001ALA011008,https://images.imaginerio.org/api/items/60
001ALA011009,https://images.imaginerio.org/api/items/61
001ALA011010,https://images.imaginerio.org/api/items/62
001ALA011011,https://images.imaginerio.org/api/items/63
001ALA011012,https://images.imaginerio.org/api/items/64
001ALA011013,https://images.imaginerio.org/api/items/65
001ALA011014,https://images.imaginerio.org/api/items/66
001ALA011015,https://images.imaginerio.org/api/items/67
001ALA011016,https://images.imaginerio.org/api/items/68
001ALA011017,https://images.imaginerio.org/api/items/69
001ALA011018,https://images.imaginerio.org/api/items/70
001ALA011019,https://images.imaginerio.org/api/items/71
001ALA011020,https://images.imaginerio.org/api/items/72
