Source ID,wikidata_id_url,wikidata_image,wikidata_ims_id,Depicts,Wikidata ID
001AAN005150,http://www.wikidata.org/entity/Q65620114,http://commons.wikimedia.org/wiki/Special:FilePath/Ba%C3%ADa%20de%20Guanabara%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620114
001AAN005151,http://www.wikidata.org/entity/Q65621327,http://commons.wikimedia.org/wiki/Special:FilePath/Entrada%20da%20Barra%208%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65621327
001AAN014010,http://www.wikidata.org/entity/Q65620116,,,,Q65620116
001AAN014011,http://www.wikidata.org/entity/Q65620117,,,http://www.wikidata.org/entity/Q203325 Praia Vermelha,Q65620117
001AAN014012,http://www.wikidata.org/entity/Q65620118,,,http://www.wikidata.org/entity/Q10352795 Praia de Icaraí,Q65620118
001AAN014013,http://www.wikidata.org/entity/Q97772679,,,,Q97772679
001AAN014015,http://www.wikidata.org/entity/Q97772680,,,,Q97772680
001AAN014016,http://www.wikidata.org/entity/Q65620358,,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620358
001ACL017002,http://www.wikidata.org/entity/Q64214710,,,http://www.wikidata.org/entity/Q10353359 Praça XV de Novembro||http://www.wikidata.org/entity/Q64355145 Mercado Novo||http://www.wikidata.org/entity/Q5997836 Ilha das Cobras||http://www.wikidata.org/entity/Q64364849 Praia do Peixe||http://www.wikidata.org/entity/Q64578365 Igreja de São José||http://www.wikidata.org/entity/Q64363860 Alfândega do Rio de Janeiro||http://www.wikidata.org/entity/Q4902626 Convento do Carmo||http://www.wikidata.org/entity/Q63413731 Hotel de France||http://www.wikidata.org/entity/Q3361206 Paço Imperial||http://www.wikidata.org/entity/Q2820360 Mosteiro de São Bento||http://www.wikidata.org/entity/Q10300293 Igreja da Ordem Terceira do Carmo||http://www.wikidata.org/entity/Q56641197 Chafariz do Mestre Valentim||http://www.wikidata.org/entity/Q2942273 Igreja de Nossa Senhora do Monte do Carmo||http://www.wikidata.org/entity/Q9627844 Arco do Teles,Q64214710
001ACL017006,http://www.wikidata.org/entity/Q65620119,,,http://www.wikidata.org/entity/Q10316364 Largo de São Francisco de Paula,Q65620119
001ACL017018,http://www.wikidata.org/entity/Q65620120,,,,Q65620120
001ACL017022,http://www.wikidata.org/entity/Q65620121,,,http://www.wikidata.org/entity/Q14942956 Floresta da Tijuca,Q65620121
001ACL018001,http://www.wikidata.org/entity/Q97772692,,,,Q97772692
001ACL018002,http://www.wikidata.org/entity/Q97772694,,,,Q97772694
001ACL018003,http://www.wikidata.org/entity/Q97772693,,,,Q97772693
001ACL018004,http://www.wikidata.org/entity/Q65620122,,,,Q65620122
