id,wikidata_id,wikidata_ims_id,wikidata_image,wikidata_depict
001ACL017032,http://www.wikidata.org/entity/Q97696235,nan,nan,nan
001ACL017033,http://www.wikidata.org/entity/Q97696988,nan,nan,nan
001ACL018001,http://www.wikidata.org/entity/Q97696893,nan,nan,nan
001ACL018002,http://www.wikidata.org/entity/Q97697236,nan,nan,nan
001ACL018003,http://www.wikidata.org/entity/Q97697008,nan,nan,nan
001ACL018004,http://www.wikidata.org/entity/Q65620122,nan,nan,nan
001ACL019001,http://www.wikidata.org/entity/Q97696804,nan,nan,nan
001ACL019003,http://www.wikidata.org/entity/Q97700017,nan,nan,nan
001ACL019004,http://www.wikidata.org/entity/Q65620123,nan,nan,http://www.wikidata.org/entity/Q5997836 Ilha das Cobras
001ACL019005,http://www.wikidata.org/entity/Q97696803,nan,nan,nan
001ACL019007,http://www.wikidata.org/entity/Q97699881,nan,nan,nan
001ACL019009,http://www.wikidata.org/entity/Q65620124,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001ACL019014,http://www.wikidata.org/entity/Q97696329,nan,nan,nan
001ACL019016,http://www.wikidata.org/entity/Q97696501,nan,nan,nan
001ACL019017,http://www.wikidata.org/entity/Q97697144,nan,nan,nan
001ACL019018,http://www.wikidata.org/entity/Q97695527,nan,nan,nan
001ACL019019,http://www.wikidata.org/entity/Q97699674,nan,nan,nan
001ACL019026,http://www.wikidata.org/entity/Q65620125,nan,nan,http://www.wikidata.org/entity/Q3757943 Gamboa
001ACL019029,http://www.wikidata.org/entity/Q65620128,nan,nan,nan
001ACL019030,http://www.wikidata.org/entity/Q65620129,nan,nan,nan
001ACL019034,http://www.wikidata.org/entity/Q97695962,nan,nan,nan
001ACL019037,http://www.wikidata.org/entity/Q97699869,nan,nan,nan
001ACL019042,http://www.wikidata.org/entity/Q97696380,nan,nan,nan
001ACL019043,http://www.wikidata.org/entity/Q65620130,nan,nan,http://www.wikidata.org/entity/Q980992 Santa Teresa
001ACL019053,http://www.wikidata.org/entity/Q65620131,nan,nan,nan
001ACL019059,http://www.wikidata.org/entity/Q97696498,nan,nan,nan
001ACL019066,http://www.wikidata.org/entity/Q97695536,nan,nan,nan
001ACL019069,http://www.wikidata.org/entity/Q97696505,nan,nan,nan
001ACL019070,http://www.wikidata.org/entity/Q97697150,nan,nan,nan
001ACL019071,http://www.wikidata.org/entity/Q97697151,nan,nan,nan
001ACL019072,http://www.wikidata.org/entity/Q97695175,nan,nan,nan
001ACL019073,http://www.wikidata.org/entity/Q97695211,nan,nan,nan
001ACL019078,http://www.wikidata.org/entity/Q97696198,nan,nan,nan
001ACL019093,http://www.wikidata.org/entity/Q65620132,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001ACL019096,http://www.wikidata.org/entity/Q97696317,nan,nan,nan
001AE001001,http://www.wikidata.org/entity/Q65621328,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001AE001002,http://www.wikidata.org/entity/Q65620134,nan,nan,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AE001003,http://www.wikidata.org/entity/Q97699825,nan,nan,nan
001AF001001,http://www.wikidata.org/entity/Q97695792,nan,nan,nan
001ALA011001,http://www.wikidata.org/entity/Q65620135,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001ALA011002,http://www.wikidata.org/entity/Q65620136,nan,nan,http://www.wikidata.org/entity/Q579694 Cinelândia
001ALA011003,http://www.wikidata.org/entity/Q65620138,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001ALA011004,http://www.wikidata.org/entity/Q97695286,nan,nan,nan
001ALA011005,http://www.wikidata.org/entity/Q65620139,nan,nan,http://www.wikidata.org/entity/Q203325 Praia Vermelha
001ALA011006,http://www.wikidata.org/entity/Q65620140,nan,nan,nan
001ALA011007,http://www.wikidata.org/entity/Q97696882,nan,nan,nan
001ALA011008,http://www.wikidata.org/entity/Q65620141,nan,nan,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001ALA011009,http://www.wikidata.org/entity/Q97695827,nan,nan,nan
001ALA011010,http://www.wikidata.org/entity/Q97696512,nan,nan,nan
001ALA011011,http://www.wikidata.org/entity/Q97695799,nan,nan,nan
001ALA011012,http://www.wikidata.org/entity/Q65620143,nan,nan,nan
001ALA011013,http://www.wikidata.org/entity/Q97697071,nan,nan,nan
001ALA011014,http://www.wikidata.org/entity/Q65620144,nan,nan,nan
001ALA011015,http://www.wikidata.org/entity/Q97695800,nan,nan,nan
001ALA011016,http://www.wikidata.org/entity/Q65621329,nan,nan,nan
001ALA011017,http://www.wikidata.org/entity/Q97696269,nan,nan,nan
001ALA011018,http://www.wikidata.org/entity/Q65621330,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001ALA011019,http://www.wikidata.org/entity/Q97695257,nan,nan,nan
001ALA011020,http://www.wikidata.org/entity/Q65621331,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001AM001001,http://www.wikidata.org/entity/Q97696783,nan,nan,nan
001AM002001,http://www.wikidata.org/entity/Q97699817,nan,nan,nan
001AM002002,http://www.wikidata.org/entity/Q97699675,nan,nan,nan
001AM003,http://www.wikidata.org/entity/Q97695928,nan,nan,nan
001AM004,http://www.wikidata.org/entity/Q97696316,nan,nan,nan
001AM005001,http://www.wikidata.org/entity/Q65620149,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001AM005002,http://www.wikidata.org/entity/Q97696370,nan,nan,nan
001AM006,http://www.wikidata.org/entity/Q97697129,nan,nan,nan
001AM008,http://www.wikidata.org/entity/Q97696451,nan,nan,nan
001AM010,http://www.wikidata.org/entity/Q65620150,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001AM011,http://www.wikidata.org/entity/Q97697039,nan,nan,nan
001AM012001,http://www.wikidata.org/entity/Q97695383,nan,nan,nan
001AM012002,http://www.wikidata.org/entity/Q97695385,nan,nan,nan
001AM012003,http://www.wikidata.org/entity/Q97695382,nan,nan,nan
001AM013,http://www.wikidata.org/entity/Q97695391,nan,nan,nan
001AM014001,http://www.wikidata.org/entity/Q97695999,nan,nan,nan
001AM014002,http://www.wikidata.org/entity/Q97699842,nan,nan,nan
001AM015,http://www.wikidata.org/entity/Q97699720,nan,nan,nan
001AMF013001,http://www.wikidata.org/entity/Q65620151,nan,nan,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AMF013002,http://www.wikidata.org/entity/Q97696915,nan,nan,nan
001AMF013003,http://www.wikidata.org/entity/Q97697017,nan,nan,nan
001AMF013005,http://www.wikidata.org/entity/Q97695473,nan,nan,nan
001AMF013007,http://www.wikidata.org/entity/Q65620152,nan,nan,nan
001AMF013009,http://www.wikidata.org/entity/Q97696968,nan,nan,nan
001AMF013010,http://www.wikidata.org/entity/Q97699984,nan,nan,nan
001AMF015001,http://www.wikidata.org/entity/Q97700019,nan,nan,nan
001AMF015002,http://www.wikidata.org/entity/Q65621332,nan,nan,http://www.wikidata.org/entity/Q1532671 Glória
001AMF015006,http://www.wikidata.org/entity/Q65620153,nan,nan,nan
001AMF015008,http://www.wikidata.org/entity/Q97696753,nan,nan,nan
001AMF015015,http://www.wikidata.org/entity/Q65621333,nan,nan,nan
001AMF015016,http://www.wikidata.org/entity/Q65620366,nan,nan,nan
001AMF015020,http://www.wikidata.org/entity/Q97696708,nan,nan,nan
001AMF015022,http://www.wikidata.org/entity/Q65620154,nan,nan,nan
001AMF015024,http://www.wikidata.org/entity/Q97697238,nan,nan,nan
001AMF015025,http://www.wikidata.org/entity/Q65620367,nan,nan,nan
001AMF016001,http://www.wikidata.org/entity/Q65620368,nan,nan,http://www.wikidata.org/entity/Q1532671 Glória
001AMF016002,http://www.wikidata.org/entity/Q97699916,nan,nan,nan
001AMF016005,http://www.wikidata.org/entity/Q97697009,nan,nan,nan
001AMF016006,http://www.wikidata.org/entity/Q97695866,nan,nan,nan
001AMF016007,http://www.wikidata.org/entity/Q97695894,nan,nan,nan
001AMF016008,http://www.wikidata.org/entity/Q97697010,nan,nan,nan
001AMF016009,http://www.wikidata.org/entity/Q97697199,nan,nan,nan
001AMF016016,http://www.wikidata.org/entity/Q97696710,nan,nan,nan
001AMF016025,http://www.wikidata.org/entity/Q97699889,nan,nan,nan
001AMF016026,http://www.wikidata.org/entity/Q97695916,nan,nan,nan
001AMF016037,http://www.wikidata.org/entity/Q97695520,nan,nan,nan
001AMF016042,http://www.wikidata.org/entity/Q97695595,nan,nan,nan
001AN01001001,http://www.wikidata.org/entity/Q65620155,nan,nan,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN01001002,http://www.wikidata.org/entity/Q65620156,nan,nan,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN01001003,http://www.wikidata.org/entity/Q65620157,nan,nan,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN01001004,http://www.wikidata.org/entity/Q97700022,nan,nan,nan
001AN01001005,http://www.wikidata.org/entity/Q65620159,nan,nan,nan
001AN01001006,http://www.wikidata.org/entity/Q97699981,nan,nan,nan
001AN01001007,http://www.wikidata.org/entity/Q65620160,nan,nan,http://www.wikidata.org/entity/Q202730 Copacabana
001AN01001008,http://www.wikidata.org/entity/Q65620161,nan,nan,http://www.wikidata.org/entity/Q468540 Ipanema
001AN01001009,http://www.wikidata.org/entity/Q97696661,nan,nan,nan
001AN01001010,http://www.wikidata.org/entity/Q97697082,nan,nan,nan
001AN01001011,http://www.wikidata.org/entity/Q65620162,nan,nan,http://www.wikidata.org/entity/Q468540 Ipanema
001AN01001012,http://www.wikidata.org/entity/Q97697246,nan,nan,nan
001AN01001013,http://www.wikidata.org/entity/Q97696438,nan,nan,nan
001AN01001017,http://www.wikidata.org/entity/Q97696662,nan,nan,nan
001AN01001018,http://www.wikidata.org/entity/Q97695456,nan,nan,nan
