,id,omeka_url
114,001AN01002016,https://v3.imaginerio.org/api/items/128
115,001AN01002017A,https://v3.imaginerio.org/api/items/129
116,001AN01002017B,https://v3.imaginerio.org/api/items/130
117,001AN01002018,https://v3.imaginerio.org/api/items/131
118,001AN01002019,https://v3.imaginerio.org/api/items/132
119,001AN01002020,https://v3.imaginerio.org/api/items/133
120,001AN01002021,https://v3.imaginerio.org/api/items/134
121,001AN01002022,https://v3.imaginerio.org/api/items/135
122,001AN01002023,https://v3.imaginerio.org/api/items/136
123,001AN01002025,https://v3.imaginerio.org/api/items/137
124,001AN01002026,https://v3.imaginerio.org/api/items/138
125,001AN01002027,https://v3.imaginerio.org/api/items/139
126,001AN01002028,https://v3.imaginerio.org/api/items/140
127,001AN01002029,https://v3.imaginerio.org/api/items/141
128,001AN01002030,https://v3.imaginerio.org/api/items/142
129,001AN01002031,https://v3.imaginerio.org/api/items/143
130,001AN01002032,https://v3.imaginerio.org/api/items/144
131,001AN01002034,https://v3.imaginerio.org/api/items/145
132,001AN01002035,https://v3.imaginerio.org/api/items/146
133,001AN01002038,https://v3.imaginerio.org/api/items/147
134,001AN01002039,https://v3.imaginerio.org/api/items/148
135,001AN01002040,https://v3.imaginerio.org/api/items/149
136,001AN01002041,https://v3.imaginerio.org/api/items/150
137,001AN01002045,https://v3.imaginerio.org/api/items/151
138,001AN01002047,https://v3.imaginerio.org/api/items/152
139,001AN01002048,https://v3.imaginerio.org/api/items/153
140,001AN01002049,https://v3.imaginerio.org/api/items/154
141,001AN01002050,https://v3.imaginerio.org/api/items/155
142,001AN01002051,https://v3.imaginerio.org/api/items/156
143,001AN01002052,https://v3.imaginerio.org/api/items/157
144,001AN01002053,https://v3.imaginerio.org/api/items/158
145,001AN01002054,https://v3.imaginerio.org/api/items/159
146,001AN01002055,https://v3.imaginerio.org/api/items/160
147,001AN01002056,https://v3.imaginerio.org/api/items/161
148,001AN01002057,https://v3.imaginerio.org/api/items/162
149,001AN01002059,https://v3.imaginerio.org/api/items/163
150,001AN01002060,https://v3.imaginerio.org/api/items/164
