id,Not in
001AN01001023,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01001026t,"['Images', 'Camera', 'Omeka']"
001AN01001027,['Wikidata']
001AN01001029,['Wikidata']
001AN01001030,['Wikidata']
001AN01001031,['Wikidata']
001AN01002004,['Wikidata']
001AN01002005,['Wikidata']
001AN01002008,['Wikidata']
001AN01002009A,"['Camera', 'Wikidata', 'Omeka']"
001AN01002009B,"['Camera', 'Wikidata', 'Omeka']"
001AN01002011,['Wikidata']
001AN01002012,['Wikidata']
001AN01002013,['Wikidata']
001AN01002014,['Wikidata']
001AN01002015,['Wikidata']
001AN01002017A,"['Camera', 'Wikidata', 'Omeka']"
001AN01002017B,"['Camera', 'Wikidata', 'Omeka']"
001AN01002018,['Wikidata']
001AN01002020,['Wikidata']
001AN01002021,['Wikidata']
001AN01002022,['Wikidata']
001AN01002023,['Wikidata']
001AN01002025,['Wikidata']
001AN01002026,['Wikidata']
001AN01002027,['Wikidata']
001AN01002028,['Wikidata']
001AN01002029,['Wikidata']
001AN01002030,['Wikidata']
001AN01002031,['Wikidata']
001AN01002032,['Wikidata']
001AN01002033,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002035,['Wikidata']
001AN01002037,"['Portals', 'Wikidata', 'Omeka']"
001AN01002038,['Wikidata']
001AN01002040,['Wikidata']
001AN01002041,['Wikidata']
001AN01002042,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002043,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002044,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002045,['Wikidata']
001AN01002046,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002047,['Wikidata']
001AN01002048,['Wikidata']
001AN01002050,['Wikidata']
001AN01002051,['Wikidata']
001AN01002052,['Wikidata']
001AN01002053,['Wikidata']
001AN01002054,['Wikidata']
001AN01002055,['Wikidata']
001AN01002056,['Wikidata']
001AN01002057,['Wikidata']
001AN01002058,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002059,['Wikidata']
001AN01002060,['Wikidata']
001AN01002061,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002064,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002066,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002067A,"['Camera', 'Wikidata', 'Omeka']"
001AN01002067B,"['Camera', 'Wikidata', 'Omeka']"
001AN01002074,['Wikidata']
001AN01002076,['Wikidata']
001AN01002077,['Wikidata']
001AN01002078,['Wikidata']
001AN01002079,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002080,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002081,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002083,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002084,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002085,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN01002087,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN02001001,"['Images', 'Camera', 'Omeka']"
001AN02001002,"['Portals', 'Wikidata', 'Omeka']"
001AN02001005,['Wikidata']
001AN02001006,"['Portals', 'Omeka']"
001AN16001001,"['Portals', 'Wikidata', 'Omeka']"
001AN16001002,"['Portals', 'Wikidata', 'Omeka']"
001AN16001003,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN16001004,"['Portals', 'Wikidata', 'Omeka']"
001AN16001005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN16001006,"['Portals', 'Wikidata', 'Omeka']"
001AN16001007,"['Portals', 'Wikidata', 'Omeka']"
001AN16001008,"['Portals', 'Wikidata', 'Omeka']"
001AN16001009,"['Portals', 'Wikidata', 'Omeka']"
001AN16001010,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN16001011,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN16001012,"['Portals', 'Wikidata', 'Omeka']"
001AN16001013,"['Portals', 'Wikidata', 'Omeka']"
001AN17001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN24001001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN24001003,"['Portals', 'Wikidata', 'Omeka']"
001AN25001001,['Omeka']
001AN25001002,"['Portals', 'Wikidata', 'Omeka']"
001AN25001003,"['Portals', 'Omeka']"
001AN27001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN29001001,"['Portals', 'Wikidata', 'Omeka']"
001AN29001002,['Wikidata']
001AN29001004,['Wikidata']
001AN30001002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN30001003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN31001001,['Omeka']
001AN31001002,['Wikidata']
001AN32001,['Wikidata']
001AN34001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN36001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN38001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AN40001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ANV022001,"['Images', 'Omeka']"
001ANV022002,"['Images', 'Omeka']"
001ANV022003,"['Images', 'Omeka']"
001ANV022004,"['Images', 'Omeka']"
001ANV022005,"['Images', 'Omeka']"
001ANV022006,"['Images', 'Omeka']"
001ANV022007,"['Images', 'Omeka']"
001ANV022008,"['Images', 'Camera', 'Omeka']"
001ANV022009,"['Images', 'Omeka']"
001ANV022010,"['Images', 'Omeka']"
001ANV022011,"['Images', 'Omeka']"
001ANV022012,"['Images', 'Omeka']"
001ANV022013,"['Images', 'Omeka']"
001ANV022014,"['Images', 'Omeka']"
001ANV022015,"['Images', 'Omeka']"
001ANV022016,"['Images', 'Omeka']"
001ANV022017,"['Images', 'Omeka']"
001ANV022018,"['Images', 'Omeka']"
001ANV022019,"['Images', 'Omeka']"
001ANV022020,"['Images', 'Omeka']"
001ANV022021,"['Images', 'Omeka']"
001ANV022022,"['Images', 'Omeka']"
001ANV022023,"['Images', 'Omeka']"
001ANV022024,"['Images', 'Omeka']"
001AS001001,"['Portals', 'Wikidata', 'Omeka']"
001AS001002,"['Portals', 'Omeka']"
001AS001003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AS001004,"['Portals', 'Wikidata', 'Omeka']"
001AS001005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AT001001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AT001002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AT001003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ATK012001,"['Images', 'Omeka']"
001ATK012002,"['Images', 'Omeka']"
001ATK012003,"['Images', 'Omeka']"
001ATK012004,"['Images', 'Omeka']"
001ATK012005,"['Images', 'Omeka']"
001ATK012006,"['Images', 'Omeka']"
001ATK012007,"['Images', 'Omeka']"
001ATK012008,"['Images', 'Omeka']"
001ATK012009,"['Images', 'Omeka']"
001ATK012010,"['Images', 'Omeka']"
001ATK012011,"['Images', 'Omeka']"
001ATK012012,"['Images', 'Omeka']"
001ATK012013,"['Images', 'Omeka']"
001ATK012014,"['Images', 'Omeka']"
001ATK012015,"['Images', 'Omeka']"
001ATK012016,"['Images', 'Omeka']"
001ATK012017,"['Images', 'Omeka']"
001ATK012018,"['Images', 'Omeka']"
001ATK012019,"['Images', 'Omeka']"
001ATK012020,"['Images', 'Omeka']"
001ATK012021,"['Images', 'Omeka']"
001ATK012022,"['Images', 'Omeka']"
001ATK012023,"['Images', 'Omeka']"
001ATK012024,"['Images', 'Omeka']"
001AZ001,"['Portals', 'Wikidata', 'Omeka']"
001BA001001,"['Portals', 'Wikidata', 'Omeka']"
001BA001002,"['Portals', 'Wikidata', 'Omeka']"
001BA001003,"['Portals', 'Wikidata', 'Omeka']"
001BA001004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA001005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA002001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA002002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA002003,"['Portals', 'Wikidata', 'Omeka']"
001BA002004,"['Portals', 'Wikidata', 'Omeka']"
001BA002005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA003001,['Wikidata']
001BA003002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA003003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA003004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA003005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BA003006,"['Portals', 'Wikidata', 'Omeka']"
001BA003007,"['Portals', 'Omeka']"
001BA003008,"['Portals', 'Wikidata', 'Omeka']"
001BA003009,"['Portals', 'Wikidata', 'Omeka']"
001BO001002,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001006,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001007,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001008,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001009,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001010,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001011,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001012,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001013,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO001014,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001BO002,"['Images', 'Wikidata', 'Omeka']"
001CC001019,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001022,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001023,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001024,['Wikidata']
001CC001025,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001026,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001027,['Wikidata']
001CC001028,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001029,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001031,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001032,['Wikidata']
001CC001033,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC001034,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC002,['Wikidata']
001CC003001,"['Portals', 'Wikidata', 'Omeka']"
001CC003004,"['Images', 'Camera', 'Omeka']"
001CC006001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC006002,"['Portals', 'Wikidata', 'Omeka']"
001CC007001,"['Portals', 'Wikidata', 'Omeka']"
001CC007002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC007003,"['Portals', 'Wikidata', 'Omeka']"
001CC007004,"['Portals', 'Wikidata', 'Omeka']"
001CC007005,"['Portals', 'Wikidata', 'Omeka']"
001CC007007,"['Portals', 'Wikidata', 'Omeka']"
001CC007014,['Wikidata']
001CC007015,"['Portals', 'Wikidata', 'Omeka']"
001CC007016,"['Portals', 'Wikidata', 'Omeka']"
001CC007019,"['Portals', 'Wikidata', 'Omeka']"
001CC007020,"['Portals', 'Wikidata', 'Omeka']"
001CC007022,"['Portals', 'Wikidata', 'Omeka']"
001CC007024,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC007025,"['Portals', 'Wikidata', 'Omeka']"
001CC008003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC008005,['Wikidata']
001CC008007,['Wikidata']
001CC011,"['Portals', 'Wikidata', 'Omeka']"
001CC013,"['Portals', 'Wikidata', 'Omeka']"
001CC015001,['Wikidata']
001CC015002,['Wikidata']
001CC015003,['Wikidata']
001CC015005,['Wikidata']
001CC016001,['Wikidata']
001CC016002,['Wikidata']
001CC016003,['Wikidata']
001CC017001,['Wikidata']
001CC017002,['Wikidata']
001CC018,['Wikidata']
001CC019001,['Wikidata']
001CC019002,['Wikidata']
001CC019003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC019004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC019005,['Wikidata']
001CC019006,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC019007,['Wikidata']
001CC019008,['Wikidata']
001CC019009,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
